,artist_name,song_name,lyrics
10,프롬유 (From.U),츤데레 (Feat. 406호 프로젝트),"쓸데없이 난
기억력이 좋아
지금쯤 니가
뭘 하는지조차
다 알고 있는 내가
좀 무서울 뿐이야
하지만 그렇게 나
널 신경 쓰진 않아
보기보다 넌
멍청한 것 같아
아마 이 말도
못 알아듣겠지
내가 왜 너 때문에
머리를 써야 해
피곤해 죽겠는데
널 보고 싶어 왜
몰래 너의 뒤를
따라 걷다가 휙
눈이 마주치면
곧바로 다른 곳을
니가 좋아하는
모든걸 좋아하지만
너는 절대
알 수 없을 거야
원래부터 난
호기심이 많아
어제는 니가
누굴 만났는지
궁금한 것뿐이야
질투 나지 않아
그런데 너만 보면
심술 부리게 돼
몰래 너의 뒤를
따라 걷다가 휙
눈이 마주치면
곧바로 다른 곳을
니가 좋아하는
모든걸 좋아하지만
너는 절대
알 수 없을 거야
나 말도 잘 못하고
성격도 이상해
이런 내가 널 좋아하는 것 같아
내 맘 몰라도 돼
그냥 난 이대로
널 볼 수 있다면
매일 너의 이름
속으로 부르고
언젠가 하게 될
고백도 연습해
너를 좋아하는
나에겐 가혹하지만
너는 절대
알 수 없을 거야
몰래 너의 뒤를
따라 걷다가 휙
눈이 마주치면
곧바로 다른 곳을
니가 좋아하는
모든걸 좋아하지만
너는 절대
알 수 없을 거야"
11,헤르쯔 아날로그 (Herz Analog),Love Song (Feat. 별은),"이 사랑을 말해낼 수 있다면
난 다른 언어는 다 잊어도 좋아
들어왔던 말들로 메워보려 하지만
도무지 내 맘엔 다 차지 않는걸
열어두었던 창 틈새로
찬바람이 들어와 가슴을 설렌다
사소한 이 모든 것이
넌 그릴 핑계가 되고
그렇게 너에게 난 전화를 걸어
I need your smile
I need your warmth
I wanna feel you everytime
I just wanna
I just wanna be with you
I need your smile
I need your warmth
I wanna feel you everytime
I just wanna
I just wanna be with you
이 사랑이 이뤄질 수 있다면
난 다른 과거를 다 잊어도 좋아
다시는 사랑 따위 할 일 없을 거라던
그 말이 이젠 좀 민망해지는 걸
열어 두었던 커튼 사이로
봄을 닮은 빛이 들어와
가슴을 설렌다
소중한 이 모든 것이
널 위한 준비가 되고
그렇게 너에게 난 전화를 걸어
I need your smile
I need your warmth
I wanna feel you everytime
I just wanna
I just wanna be with you
I need your smile
I need your warmth
I wanna feel you everytime
I just wanna
I just wanna be with you"
12,바닐라 어쿠스틱,맴돌아,"어디에 있다 이제야 나타나
막 내 맘을 흔들고
너는 날 웃고 울리고 또 설레게 하고
난 네게 눈을 떼지 못하고
하루에 한번 아니 여러번
자꾸 널 만나고 싶어
이래도 되나 싶게 막 네 생각만 나고
참는 게 힘들어
Only you Only you
널 위해 아껴둔 한마디
잠들기 전에 살며시 속삭일까
Fall in you Fall in you
오늘은 왜인지 모르게
입안에서 막 맴돌아 그 한마디
I love you
바보가 됐다 시인이 됐다
변화무쌍한 모습들
나조차 알지 못했던
내 안에 새로운 누군갈 찾게 돼
Only you Only you
널 위해 아껴둔 한마디
잠들기 전에 살며시 속삭일까
널 안고 싶어 보고 싶어
달콤한 목소리 듣고 싶어
손 잡고 싶어 요즘 들어
유행하는 영화를 보고 싶어
귀 뜨겁도록 통화하다
잠들어 배터리 나간지 몰라
놀란 채로 아침을 맞고 싶어
Only you
널 위해 아껴둔 한마디
잠들기 전에 살며시 속삭일까
Fall in you Fall in you
오늘은 왜인지 모르게
입안에서 막 맴돌아 그 한마디
I love you
oh love I’m in love my love"
13,최정윤,Silly Love Song,"마법같은 일이 생긴거야
심장이 두근댄단 말야
넌 아주 무뚝뚝한 표정으로
모른척하지만
마법같은 일이란건 말야
순식간에 벌어진거야
너도 이런 내가 낯설겠지만
나도 내가 낯설어 우우우
내가 널 좋아한단 말을
이렇게 하고 있잖아 넌
아무것도 모른단 표정으로
언제까지 우우우
내가 널 사랑한단 말을
이렇게 하고 있잖아 넌
그렇게 바보같은 표정으로
언제까지 우우우
나도 안단 말야 이 마음이 사랑인걸
숨기려고 애를 써 봐도
절대 숨길 수 없어 우우우
내가 널 좋아한단 말을
이렇게 하고있잖아 넌
눈치도 빠르면서 눈치 없는 척
언제까지 우우우
내가 널 사랑한단 말을
이렇게 하고 있잖아 넌
아무것도 모른단 표정으로
언제까지 우우우
내가 널 좋아한단 말을
이렇게 하고 있잖아 넌
아무것도 모른단 표정으로
언제까지 우우우
내가 널 사랑한단 말을
이렇게 하고 있잖아 넌
그렇게 바보같은 표정으로
언제까지 우우우"
14,OoOo (오넷),OCEAN (Feat. 추서준),"널 가만히 두기에는 이 밤이
너무 또 길어 또 오늘만이
아무 말 말아 그냥 눈감아
넌 그냥 내게 와 나를 꽉 안아
swim in your body
i think you a lot it
swim in your body
swim in your body
i think you a lot it
swim in your body
아무말 말아
swim in your body
해가 다 지기 전까지
swim in your body
서로의 눈을 마주치며 swimming
우리 눈을 감은 뒤 모션
아직까지도 너의 향기가 남아
너랑 나 손 잡고 걸어 ocean
너와 다른 점 찾아
가끔은 그것 또한 우리 답변
닮아가는 과정을 보자
그래 아름다운 우리 양면
너의 몸이 아닌 너를 사랑하지 난
우리 같이 수영하자 하루종일 그래 다
서로의 눈을 마주 보며 찾지
우린 바다 한가운데 ocean
네가 나를 더 찾을 때 두 눈을 감아
나는 마음을 느껴 motion
swim in your body
i think you a lot it
swim in your body
아무 말 말아
swim in your body
해가 다 지기 전까지
swim in your body
서로의 눈을 마주치며 swimming
우리 눈을 감은 뒤 motion
아직까지도 너의 향기가 남아
너랑 나 손 잡고 걸어 ocean
서로의 눈을 마주치며 swimming
우리 눈을 감은 뒤 motion
아직까지도 너의 향기가 남아
너랑 나 손 잡고 걸어 ocean"
15,윤딴딴,혹시 모르니까,"한 무더기 여름이 지나고
너와 걷고 싶은 거릴
걷고 또 걷고 싶어서
늘 그러고 싶었어
솔바람은 우릴 안고 있고
눈 돌린 그 끝엔 너의 입술
내 입술 꼭 삼켜
넌 머리를 또 넘겨
여기 조금 더 너와 있고 싶어
작은 쇠파이프처럼 너를 안고 싶어
그래도 혹시 모르니까
우리 혹시 모르잖아
저기 새빨간 너의 입술 위로
자주색 와인처럼 살짝 포개고 싶어
그래도 혹시 모르니까
우리 좀 더 걸어가자
오오 난 너와 걷고 싶은 거릴
걷고 또 걷고 싶어서
계속 핑계를 찾았어
솔바람은 우릴 안고 있고
눈 돌린 그 끝엔 너의 웃음
내 웃음 꼭 지어
넌 머리를 또 넘겨
여기 조금 더 너와 있고 싶어
작은 쇠파이프처럼 너를 안고 싶어
그래도 혹시 모르니까
우리 혹시 모르잖아
저기 새빨간 너의 입술 위로
자주색 와인처럼 살짝 포개고 싶어
그래도 혹시 모르니까
우리 좀더 걸어가자
오오 난 이 상황에
뭐가 더 필요한 건지
오오 너 날 다 알면서
왜 나 엄한데 힘쓰지 않을래
나 너와 있고 싶어
작은 쇠파이프처럼 너를 안고 싶어
그래도 혹시 모르니까
우리 혹시 모르잖아
여기 떨리는 나의 가슴 위로
너의 손 꼭 잡고 살짝 포개고 싶어
그래도 혹시 모르니까
우리 혹시 모르니까"
16,앤츠 (Ants),여름 밤 그대와 산책,"조용히 잠든 거리를
그대와 손 잡고 걷는 이 밤이 좋아
사소한 이야기를 나누며
달콤해지는 밤
그대는 노랫말처럼
자꾸만 내 맘을 흥얼거리게 하죠
차분한 밤 공기에 퍼지는
우리 이야기
여름 밤 그대와 산책
이대로 너무 좋아요
여름 밤 그대와 산책
여름 밤 그대와 산책
시간이 멈췄으면 해
여름 밤 그대와 산책
오 조금만 더 걸어요
별들이 노는 하늘을
그대와 가만히 바라보는게 좋아
감겨오는 바람도 더 없이
달콤해지는 밤
그대는 봄 향기처럼
자꾸만 내 맘을 살랑거리게 하죠
지금 이 순간도 난 그래요
설레고 있죠
여름 밤 그대와 산책
이대로 너무 좋아요
여름 밤 그대와 산책
여름 밤 그대와 산책
시간이 멈췄으면 해
여름 밤 그대와 산책
오 조금만 더 걸어요
여름 밤 그대와 산책
시간이 멈췄으면 해
여름 밤 그대와 산책
오 내일 또 만날까요"
17,찰리,날아와 (Feat. 김라일리),"Come a bit closer and
내 얘기 좀 들어봐
키위보단 sweet하고 딸기보단 bitter
My complex love story
난 그저 사랑이 하고 싶어
Like other girls do
like you you you do
But when where who what how why
사랑이 시험이라면 난 F F F
될 듯 말 듯 끌릴 듯 말 듯해
남자들 맘은 알 듯 말 듯 헷갈려
What you waiting for
난 준비 다 끝났단 말야
Well you may be in another star
Or in another moon
아직 부끄러워 숨어있을지도
손 흔들며 서 있을게 날아와 줘
Baby I don't wanna wait no more
너무 외로워
세상에 나만 혼자인 것 같아 Oh
셋 셀게 넌 날아와
눈치게임은 stop
너 빨리 날아와
나 시간은 많아 근데 이건 너무해
다른 별은 아닐까
네가 향해가는 게
아님 내가 가야 하나
엇갈리면 어째
잘 잤어 오늘은 무슨 생각했어
간지러운 말 속삭여줘 날마다 계속
내 머리맡 손전등
너에게 비추며 몰래 보내는 sign
From me to you
될 듯 말 듯 끌릴 듯 말 듯해
남자 맘보다 내 맘이 더 헷갈려
What you waiting for
난 준비 다 끝났단 말야
Well you may be in another star
Or in another moon
아직 부끄러워 숨어있을지도
손 흔들며 서 있을게 날아와줘
Baby I don't wanna wait no more
너무 외로워
세상에 나만 혼자인 것 같아 Oh
셋 셀게 넌 날아와
내가 성급해 보일지도 몰라
But I gotta find my boy
내 맘에 비가 내리면
넌 날아와 먹구름을 걷어줘
And sing me a sweet lullaby
May be in another star
Or in another moon
아직 부끄러워 숨어있을지도
손 흔들며 서 있을게 날아와줘
Baby I don't wanna wait no more
너무 외로워
세상에 나만 혼자인 것 같아 Oh
셋 셀게 넌 날아와
I just wanna love
Like you do or they do
But with who who who who who
어디 있을까요
사랑이 필요해요"
18,오곤,no filter,"I know you Every single day
I know you Everywhere
너 빼곤 I don‘t care
너도 알고 있잖아
우린 Everyday
365일 Anywhere
Let’s capture our days
우릴 저장할 거야 아예
키가 작은 우리는 오순도순 어울려
박자 맞춰 걸으면 오곤조곤 설레어
함께 살이 오른 집사와 주인님
물론 주인은 너니깐 always all day
하늘 위로 올라가자 구름 타고서
비지니스로 끊어놨어
함께 Let’s ride
지루하면 말해 영화 준비해놨어
유치한 우리를 담은 로맨틱한 영화야
내가 이상한 게 아니야
아이아이아이아이아
나의 꿈은 순수한 걸
Let’s keep our unique color
I know you Every single day
I know you Everywhere
너 빼곤 I don‘t care
너도 알고 있잖아
우린 Everyday
365일 Anywhere
Let’s capture our days
우릴 저장할 거야 아예
그냥 필터 없는 사진들을 찍자
꾸밈없는 지금의 우리를 기록해
소중한 우리는 영원할 거야
알잖아 우린 그렇게 태어났어
둘만의 작은 섬에 갇힌 소녀 소년
춤을 추고 함께 노래도 부르며
붙어 있자
자석처럼 붙어 있자
결국 둘은 행복하게 살았대요
나는 이미 정상이 아니야
아이아이아이아이아
나의 꿈이 돼버린 너
We don’t need any filters
I know you Every single day
I know you Everywhere
너 빼곤 I don‘t care
너도 알고 있잖아
우린 Everyday
365일 Anywhere
Let’s capture our days
우릴 저장할 거야 아예"
19,달 좋은 밤,안아줘,"부는 바람에도 네가 생각나
너도 지금 나를 떠올리는지
내 눈을 자꾸자꾸 쳐다보던 너
그날을 기억해
너를 마주 보던 달콤한 순간
초콜릿 케잌보다 달콤했었지
어떤 날은 네 목소리에 그만
정신이 혼미했어
매일 다짐해보지만
오늘은 말하고 싶지만
입술이 떨어지지가 않지 또
안아줘
안아줘
안아줘
마치 내게 하는 말인 것 같아
하루 종일 마냥 설레곤 했지
또 문득 나를 바라보는 미소에
녹아 내릴 뻔했어
매일 다짐해보지만
오늘은 말하고 싶지만
입술이 떨어지지가 않지 또
안아줘
안아줘
안아줘
알고는 있지만
혹시 멀어질 수도 있다는 거
그래도 지금 같은 사이는
너무 답답하니까
뭐든 얘기해볼래
매일 다짐해보지만
오늘은 말하고 싶지만
입술이 떨어지지가 않지 또
안아줘
안아줘
안아줘
매일 다짐해보지만
오늘은 말하고 싶지만
입술이 떨어지지가 않지 또
안아줘
안아줘
안아줘"
